"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준","기기별_검색추이","성별","선호_성별_검색추이","선호연령대","선호연령대_성별","선호연령대_검색추이"
"81","2017","3","1Q","모바일","가구_인테리어","가구",137752,122186,"증가","spring",0,100.1,4.1,97,3.9,63.78638,"f",63.69874,"30","여자",85.21921
"82","2017","3","1Q","인터넷","가구_인테리어","가구",102935,96989,"증가","spring",0,100.1,4.1,97,3.9,9.28758,"m",56.73294,"30","남자",60.2246
"83","2017","3","1Q","모바일","디지털_가전","가전·전자·통신기기",318541,298786,"증가","spring",0,100.1,4.1,97,3.9,55.54302,"f",49.89777,"30","여자",60.89875
"84","2017","3","1Q","모바일","디지털_가전","자동차 및 자동차용품",44158,43128,"증가","spring",0,100.1,4.1,97,3.9,55.54302,"f",49.89777,"30","여자",60.89875
"85","2017","3","1Q","모바일","디지털_가전","컴퓨터 및 주변기기",151262,146200,"증가","spring",0,100.1,4.1,97,3.9,55.54302,"f",49.89777,"30","여자",60.89875
"86","2017","3","1Q","인터넷","디지털_가전","가전·전자·통신기기",349185,328088,"증가","spring",0,100.1,4.1,97,3.9,9.329255,"m",47.99228,"30","남자",21.5985
"87","2017","3","1Q","인터넷","디지털_가전","자동차 및 자동차용품",37139,33549,"증가","spring",0,100.1,4.1,97,3.9,9.329255,"m",47.99228,"30","남자",21.5985
"88","2017","3","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",322089,329143,"감소","spring",0,100.1,4.1,97,3.9,9.329255,"m",47.99228,"30","남자",21.5985
"89","2017","3","1Q","모바일","생활_건강","사무·문구",24255,18854,"증가","spring",0,100.1,4.1,97,3.9,46.690795,"m",54.63,"30","남자",78.90339
"90","2017","3","1Q","모바일","생활_건강","생활용품",353374,354823,"감소","spring",0,100.1,4.1,97,3.9,46.690795,"m",54.63,"30","남자",78.90339
"91","2017","3","1Q","모바일","생활_건강","서적",59519,47680,"증가","spring",0,100.1,4.1,97,3.9,46.690795,"m",54.63,"30","남자",78.90339
"92","2017","3","1Q","모바일","생활_건강","애완용품",40078,37709,"증가","spring",0,100.1,4.1,97,3.9,46.690795,"m",54.63,"30","남자",78.90339
"93","2017","3","1Q","인터넷","생활_건강","사무·문구",45751,41550,"증가","spring",0,100.1,4.1,97,3.9,7.488845,"m",60.39079,"30","남자",62.66991
"94","2017","3","1Q","인터넷","생활_건강","생활용품",266119,252296,"증가","spring",0,100.1,4.1,97,3.9,7.488845,"m",60.39079,"30","남자",62.66991
"95","2017","3","1Q","인터넷","생활_건강","서적",126052,106649,"증가","spring",0,100.1,4.1,97,3.9,7.488845,"m",60.39079,"30","남자",62.66991
"96","2017","3","1Q","인터넷","생활_건강","애완용품",25187,24296,"증가","spring",0,100.1,4.1,97,3.9,7.488845,"m",60.39079,"30","남자",62.66991
"97","2017","3","1Q","모바일","스포츠_레져","스포츠·레저용품",128655,100947,"증가","spring",0,100.1,4.1,97,3.9,42.125155,"m",42.64269,"30","남자",47.89065
"98","2017","3","1Q","인터넷","스포츠_레져","스포츠·레저용품",128706,106163,"증가","spring",0,100.1,4.1,97,3.9,5.05407,"m",45.19386,"30","남자",51.91069
"99","2017","3","1Q","모바일","식품","농축수산물",121835,100582,"증가","spring",0,100.1,4.1,97,3.9,27.98232,"f",28.25391,"30","여자",38.04257
"100","2017","3","1Q","모바일","식품","음·식료품",392601,349797,"증가","spring",0,100.1,4.1,97,3.9,27.98232,"f",28.25391,"30","여자",38.04257
"101","2017","3","1Q","인터넷","식품","농축수산물",72315,66964,"증가","spring",0,100.1,4.1,97,3.9,4.415185,"m",32.04384,"30","남자",33.3417
"102","2017","3","1Q","인터넷","식품","음·식료품",249069,223285,"증가","spring",0,100.1,4.1,97,3.9,4.415185,"m",32.04384,"30","남자",33.3417
"103","2017","3","1Q","모바일","여가_생활편의","e쿠폰서비스",77872,69089,"증가","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"104","2017","3","1Q","모바일","여가_생활편의","문화 및 레저서비스",49197,50991,"감소","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"105","2017","3","1Q","모바일","여가_생활편의","여행 및 교통서비스",561942,557968,"증가","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"106","2017","3","1Q","인터넷","여가_생활편의","e쿠폰서비스",12277,11707,"증가","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"107","2017","3","1Q","인터넷","여가_생활편의","문화 및 레저서비스",88936,72901,"증가","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"108","2017","3","1Q","인터넷","여가_생활편의","여행 및 교통서비스",510654,552472,"감소","spring",0,100.1,4.1,97,3.9,NA,NA,NA,NA,NA,NA
"109","2017","3","1Q","모바일","출산_육아","아동·유아용품",204856,180770,"증가","spring",0,100.1,4.1,97,3.9,48.79831,"f",47.38105,"30","여자",62.95101
"110","2017","3","1Q","인터넷","출산_육아","아동·유아용품",95343,81434,"증가","spring",0,100.1,4.1,97,3.9,4.694635,"f",48.8347,"30","여자",69.20029
"111","2017","3","1Q","모바일","패션잡화","가방",114633,110077,"증가","spring",0,100.1,4.1,97,3.9,76.895085,"f",79.96312,"30","여자",90.9247
"112","2017","3","1Q","모바일","패션잡화","신발",97495,73655,"증가","spring",0,100.1,4.1,97,3.9,76.895085,"f",79.96312,"30","여자",90.9247
"113","2017","3","1Q","모바일","패션잡화","의복",563752,445567,"증가","spring",0,100.1,4.1,97,3.9,76.895085,"f",79.96312,"30","여자",90.9247
"114","2017","3","1Q","모바일","패션잡화","패션용품 및 액세서리",102632,87970,"증가","spring",0,100.1,4.1,97,3.9,76.895085,"f",79.96312,"30","여자",90.9247
"115","2017","3","1Q","인터넷","패션잡화","가방",54028,53127,"증가","spring",0,100.1,4.1,97,3.9,7.866065,"m",75.89144,"30","남자",84.21183
"116","2017","3","1Q","인터넷","패션잡화","신발",55799,44976,"증가","spring",0,100.1,4.1,97,3.9,7.866065,"m",75.89144,"30","남자",84.21183
"117","2017","3","1Q","인터넷","패션잡화","의복",478990,382105,"증가","spring",0,100.1,4.1,97,3.9,7.866065,"m",75.89144,"30","남자",84.21183
"118","2017","3","1Q","인터넷","패션잡화","패션용품 및 액세서리",63045,58915,"증가","spring",0,100.1,4.1,97,3.9,7.866065,"m",75.89144,"30","남자",84.21183
"119","2017","3","1Q","모바일","화장품_미용","화장품",361445,428550,"감소","spring",0,100.1,4.1,97,3.9,56.563045,"f",58.83525,"30","여자",63.31568
"120","2017","3","1Q","인터넷","화장품_미용","화장품",353850,300678,"증가","spring",0,100.1,4.1,97,3.9,8.9614,"f",77.24243,"30","여자",70.17499
"121","2017","4","2Q","모바일","가구_인테리어","가구",117279,137752,"감소","spring",0,99.8,3.7,101.5,8.7,55.620695,"f",55.49322,"30","여자",73.77196
"122","2017","4","2Q","인터넷","가구_인테리어","가구",88744,102935,"감소","spring",0,99.8,3.7,101.5,8.7,9.093225,"m",56.96774,"30","남자",68.66154
"123","2017","4","2Q","모바일","디지털_가전","가전·전자·통신기기",349814,318541,"증가","spring",0,99.8,3.7,101.5,8.7,56.946,"f",52.68851,"30","여자",65.20184
"124","2017","4","2Q","모바일","디지털_가전","자동차 및 자동차용품",44786,44158,"증가","spring",0,99.8,3.7,101.5,8.7,56.946,"f",52.68851,"30","여자",65.20184
"125","2017","4","2Q","모바일","디지털_가전","컴퓨터 및 주변기기",116675,151262,"감소","spring",0,99.8,3.7,101.5,8.7,56.946,"f",52.68851,"30","여자",65.20184
"126","2017","4","2Q","인터넷","디지털_가전","가전·전자·통신기기",366894,349185,"증가","spring",0,99.8,3.7,101.5,8.7,9.965015,"m",51.21382,"30","남자",26.14207
"127","2017","4","2Q","인터넷","디지털_가전","자동차 및 자동차용품",35727,37139,"감소","spring",0,99.8,3.7,101.5,8.7,9.965015,"m",51.21382,"30","남자",26.14207
"128","2017","4","2Q","인터넷","디지털_가전","컴퓨터 및 주변기기",251604,322089,"감소","spring",0,99.8,3.7,101.5,8.7,9.965015,"m",51.21382,"30","남자",26.14207
"129","2017","4","2Q","모바일","생활_건강","사무·문구",20233,24255,"감소","spring",0,99.8,3.7,101.5,8.7,59.12793,"m",61.56703,"30","남자",86.26873
"130","2017","4","2Q","모바일","생활_건강","생활용품",328595,353374,"감소","spring",0,99.8,3.7,101.5,8.7,59.12793,"m",61.56703,"30","남자",86.26873
"131","2017","4","2Q","모바일","생활_건강","서적",40127,59519,"감소","spring",0,99.8,3.7,101.5,8.7,59.12793,"m",61.56703,"30","남자",86.26873
"132","2017","4","2Q","모바일","생활_건강","애완용품",35774,40078,"감소","spring",0,99.8,3.7,101.5,8.7,59.12793,"m",61.56703,"30","남자",86.26873
"133","2017","4","2Q","인터넷","생활_건강","사무·문구",41721,45751,"감소","spring",0,99.8,3.7,101.5,8.7,9.482525,"m",69.40531,"30","남자",69.97835
"134","2017","4","2Q","인터넷","생활_건강","생활용품",246729,266119,"감소","spring",0,99.8,3.7,101.5,8.7,9.482525,"m",69.40531,"30","남자",69.97835
"135","2017","4","2Q","인터넷","생활_건강","서적",82291,126052,"감소","spring",0,99.8,3.7,101.5,8.7,9.482525,"m",69.40531,"30","남자",69.97835
"136","2017","4","2Q","인터넷","생활_건강","애완용품",23609,25187,"감소","spring",0,99.8,3.7,101.5,8.7,9.482525,"m",69.40531,"30","남자",69.97835
"137","2017","4","2Q","모바일","스포츠_레져","스포츠·레저용품",147775,128655,"증가","spring",0,99.8,3.7,101.5,8.7,44.018885,"m",43.13305,"30","남자",48.71532
"138","2017","4","2Q","인터넷","스포츠_레져","스포츠·레저용품",135380,128706,"증가","spring",0,99.8,3.7,101.5,8.7,5.311385,"m",47.24566,"30","남자",55.26364
"139","2017","4","2Q","모바일","식품","농축수산물",110327,121835,"감소","spring",0,99.8,3.7,101.5,8.7,31.468885,"f",32.5775,"30","여자",42.76489
"140","2017","4","2Q","모바일","식품","음·식료품",386307,392601,"감소","spring",0,99.8,3.7,101.5,8.7,31.468885,"f",32.5775,"30","여자",42.76489
"141","2017","4","2Q","인터넷","식품","농축수산물",65812,72315,"감소","spring",0,99.8,3.7,101.5,8.7,3.97488,"m",30.31059,"30","남자",22.3438
"142","2017","4","2Q","인터넷","식품","음·식료품",266606,249069,"증가","spring",0,99.8,3.7,101.5,8.7,3.97488,"m",30.31059,"30","남자",22.3438
"143","2017","4","2Q","모바일","여가_생활편의","e쿠폰서비스",72727,77872,"감소","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
"144","2017","4","2Q","모바일","여가_생활편의","문화 및 레저서비스",53515,49197,"증가","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
"145","2017","4","2Q","모바일","여가_생활편의","여행 및 교통서비스",600457,561942,"증가","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
