"","period","선호_성별_검색추이","성별","카테고리명","검색기기","년도","월"
"351","2018-10-01",68.03431,"f","화장품_미용","모바일","2018","10"
"352","2018-10-01",90.92615,"f","화장품_미용","인터넷","2018","10"
"353","2018-11-01",54.16969,"f","가구_인테리어","모바일","2018","11"
"354","2018-11-01",68.51626,"m","가구_인테리어","인터넷","2018","11"
"355","2018-11-01",54.13621,"f","디지털_가전","모바일","2018","11"
"356","2018-11-01",100,"m","디지털_가전","인터넷","2018","11"
"357","2018-11-01",52.57195,"m","생활_건강","모바일","2018","11"
"358","2018-11-01",65.06516,"m","생활_건강","인터넷","2018","11"
"359","2018-11-01",53.80748,"m","스포츠_레져","모바일","2018","11"
"360","2018-11-01",58.85891,"m","스포츠_레져","인터넷","2018","11"
"361","2018-11-01",40.27335,"f","식품","모바일","2018","11"
"362","2018-11-01",51.56771,"m","식품","인터넷","2018","11"
"363","2018-11-01",47.27149,"f","출산_육아","모바일","2018","11"
"364","2018-11-01",59.40093,"f","출산_육아","인터넷","2018","11"
"365","2018-11-01",65.86923,"f","패션잡화","모바일","2018","11"
"366","2018-11-01",76.91137,"m","패션잡화","인터넷","2018","11"
"367","2018-11-01",66.87982,"f","화장품_미용","모바일","2018","11"
"368","2018-11-01",88.22805,"f","화장품_미용","인터넷","2018","11"
"369","2018-12-01",58.17306,"f","가구_인테리어","모바일","2018","12"
"370","2018-12-01",66.56013,"m","가구_인테리어","인터넷","2018","12"
"371","2018-12-01",55.22222,"f","디지털_가전","모바일","2018","12"
"372","2018-12-01",98.76605,"m","디지털_가전","인터넷","2018","12"
"373","2018-12-01",54.19585,"m","생활_건강","모바일","2018","12"
"374","2018-12-01",61.4375,"m","생활_건강","인터넷","2018","12"
"375","2018-12-01",50.69166,"m","스포츠_레져","모바일","2018","12"
"376","2018-12-01",51.7942,"m","스포츠_레져","인터넷","2018","12"
"377","2018-12-01",40.71334,"f","식품","모바일","2018","12"
"378","2018-12-01",49.50617,"m","식품","인터넷","2018","12"
"379","2018-12-01",63.21913,"f","출산_육아","모바일","2018","12"
"380","2018-12-01",67.15141,"f","출산_육아","인터넷","2018","12"
"381","2018-12-01",75.10111,"f","패션잡화","모바일","2018","12"
"382","2018-12-01",77.48836,"m","패션잡화","인터넷","2018","12"
"383","2018-12-01",73.56313,"f","화장품_미용","모바일","2018","12"
"384","2018-12-01",82.08198,"f","화장품_미용","인터넷","2018","12"
"385","2019-01-01",58.44799,"f","가구_인테리어","모바일","2019","1"
"386","2019-01-01",76.74801,"m","가구_인테리어","인터넷","2019","1"
"387","2019-01-01",58.96555,"f","디지털_가전","모바일","2019","1"
"388","2019-01-01",87.48117,"m","디지털_가전","인터넷","2019","1"
"389","2019-01-01",52.92697,"m","생활_건강","모바일","2019","1"
"390","2019-01-01",63.42182,"m","생활_건강","인터넷","2019","1"
"391","2019-01-01",40.4574,"m","스포츠_레져","모바일","2019","1"
"392","2019-01-01",48.13287,"m","스포츠_레져","인터넷","2019","1"
"393","2019-01-01",53.11879,"f","식품","모바일","2019","1"
"394","2019-01-01",66.78657,"m","식품","인터넷","2019","1"
"395","2019-01-01",47.72316,"f","출산_육아","모바일","2019","1"
"396","2019-01-01",54.18397,"f","출산_육아","인터넷","2019","1"
